Id,PublisherId,PublisherName,Status,LastPostDate,TimeSinceLastPost_Days,PostsCount_Sep2025_Jan2026,PostsCount_Jan2026_Today,TotalDistinctPostsTracked,DataStatus,ActivationStatus
26585736,10024092251,Alisha | Fashion Blogger,Active,,,0,0,0,Verified,Never Activated
26586355,10024092863,MAL LISA,Active,Pending,,,,,Pending,Pending - data not yet available
26595433,10024101891,Reagan | Nutrition + Health Coaching,Active,,,0,0,0,Verified,Never Activated
26595492,10024101949,madelinebhealth,Active,,,0,0,0,Verified,Never Activated
26638481,10024144136,alissa afonso,Active,Pending,,,,,Pending,Pending - data not yet available
26648846,10024154305,Becky Alvarado | Life on Case Lane,Active,Pending,,,,,Pending,Pending - data not yet available
26649725,10024155154,Cristina | SoCal Latina Mom Influencer,Active,,,0,0,0,Verified,Never Activated
26650676,10024156082,Alicia Bailey aka Bailey Li,Active,,,0,0,0,Verified,Never Activated
26651523,10024156908,Neli Howard | Delicious Meets Healthy,Active,Pending,,,,,Pending,Pending - data not yet available
26651846,10024157219,Christie Val,Active,Pending,,,,,Pending,Pending - data not yet available
26659828,10024165036,Chloe Caldwell,Active,,,0,0,0,Verified,Never Activated
26659838,10024165046,Chalyne 👑🇯🇲,Active,,,0,0,0,Verified,Never Activated
26661587,10024166758,Lili Brito | Thrifty Fashion Maximalist,Active,,,0,0,0,Verified,Never Activated
26672917,10024177836,Valerie Velasco,Active,,,0,0,0,Verified,Never Activated
26698982,10024203362,Kaleigh Ginn,Active,,,0,0,0,Verified,Never Activated
26703354,10024207698,Alison Delamota,Active,,,0,0,0,Verified,Never Activated
26705178,10024209516,Alison Simmons,Active,Pending,,,,,Pending,Pending - data not yet available
26745660,10024249834,Kelcy Duvall,Active,,,0,0,0,Verified,Never Activated
26769737,10024273892,Coralie Seright,Active,Pending,,,,,Pending,Pending - data not yet available
26775907,10024280000,Beauty  Lifestyle  and Real Estate,Active,Pending,,,,,Pending,Pending - data not yet available
