Id,PublisherId,PublisherName,Status,InstagramHandle,TikTokHandle
11663578,10010590120,LIZ + AMY,Active,interiorjems,
11663593,10010590125,thespoiledhome,Active,,
11663598,10010590127,The  Spoiled Home,Active,,
11663611,10010590130,Kailee  | Budget Home Decor,Active,oureveryday.home,
11663643,10010590136,Sonia - Bay Area Influencer & Los Angeles Creator,Active,soniabegoniablog,
11663673,10010590144,Mary Beth Wilhelm,Active,livinwithmb,livinwithmb
11663705,10010590154,decor.snippets,Active,,
11663708,10010590155,decorsnippetss,Active,,
11663718,10010590159,Heather  + Whitney,Active,rookiemoms,
11663724,10010590162,rookiemoms,Active,,
11663744,10010590168,Rosey Blair 🦢 girly routines • cozy seasons,Active,roseybeeme,roseybeeme
11663750,10010590172,RoseyBeeme,Active,,
11663766,10010590176,KariAnne Wood,Active,thistlewood,thistlewood
11663779,10010590179,Thistlewood  Farm,Active,,
11663783,10010590180,thistlewoodfarm,Active,,
11663791,10010590181,Heidi Daoud,Active,wishes_reality,
11664091,10010590246,The Potted Boxwood,Active,thepottedboxwood,thepottedboxwood
11664099,10010590248,beauxarts107,Active,beauxarts107,
11664159,10010590260,Amber Vestal,Active,wifeonadime,wifeonadime_
11664176,10010590263,Wife  on a Dime,Active,,
11664194,10010590266,Little  Lovelies,Active,,
11664210,10010590269,ourpnw_home,Active,ourpnw_home,ourpnw_home
11664217,10010590270,Andrea Denes | Life on Cedar Lane,Active,lifeoncedarlane,lifeoncedarlane
11664237,10010590274,making_highview_home,Active,,making_highview_home
11664242,10010590275,jensgatheringnest,Active,jensgatheringnest,jensgatheringnest
11664263,10010590279,𝐁 𝐑 𝐎 𝐎 𝐊 𝐄  𝐌 𝐎 𝐑 𝐀 𝐋 𝐄 𝐒,Active,brookemoraleshome,blindseyj
11664268,10010590280,rrfarmhouse,Active,,
11664283,10010590282,Studio  McGee,Active,studiomcgee,
11664296,10010590285,Dashing  Darlin' - a life + style blog,Active,,
11664295,10010590284,Angelle Marix,Active,dashing_darlin,dashing_darlin
11664305,10010590287,Kay Harms,Active,dressed_4_my_day,
11664309,10010590288,thehillarystyle,Active,,
11664310,10010590289,Hillary |  Design | LifeStyle | Content Creator,Active,thehillarystyle,thehillarystyle
11664317,10010590290,Paola,Active,mywellihousedecor,mywellihousedecor
11833557,10010728836,Mary Spears,Active,mary__spears,
12092079,10010901684,Freya’s  Home,Active,freyafarringtonhome,
12092098,10010901689,Shade  Shannon,Active,_homeofshade,
12092106,10010901691,Lucy  Wood,Active,lucyjanewood,
12092120,10010901701,mamareid,Active,mamareid,
12092172,10010901729,Kate  Murnane,Active,muraelondon,katemurnane
12092178,10010901731,ourtinytribeuk,Active,rosewood_homeinterior,
12092212,10010901740,BellaBambinaxX,Active,aimeemichelle_a,
12092217,10010901744,Liza  Prideaux,Active,lizaprideaux,lizaprideaux53
